CountryOrTerritory,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Municipality,Pollutant,AggregationType,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
France,2019,2020-11-21T23:14:17.13Z,STA-FR23124,SPO-FR23124_5,46.656684999999996,-0.74368100000000004,Fontenay-le-Comte,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,95.82191781,100,95.82191781,11.942435
France,2019,2020-11-21T23:14:17.13Z,STA-FR04031,SPO-FR04031_5,48.868889999999993,2.311944,Paris,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,80.82191781,100,80.82191781,28.953079
France,2019,2020-11-21T23:14:17.13Z,STA-FR04179,SPO-FR04179_5,48.830386999999988,2.269889,Boulogne-Billancourt,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,96.96347032,100,96.96347032,15.962479
France,2019,2020-11-21T23:14:17.13Z,STA-FR15045,SPO-FR15045_5,45.057799999999993,5.6767000000000003,Grenoble,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.76712329,100,98.76712329,12.587991
France,2019,2020-11-21T23:14:17.13Z,STA-FR16066,SPO-FR16066_5,47.737415000000006,7.309075,Mulhouse,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,98.58447489,100,98.58447489,15.208476
France,2019,2020-11-21T23:14:17.13Z,STA-FR30020,SPO-FR30020_5,48.775859999999994,5.1627890000000001,Bar-le-Duc,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,92.15753425,100,92.15753425,14.492344
France,2019,2020-11-21T23:14:17.13Z,STA-FR33220,SPO-FR33220_5,45.923609999999996,6.7136110000000011,Bonneville,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Valid,Verified,91.55251142,100,91.55251142,20.039289
France,2019,2020-11-21T23:14:17.13Z,STA-FR20045,SPO-FR20045_5,45.731699999999996,4.9803000000000006,Lyon,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Not valid,Verified,0.42237443,100,0.42237443,9.578378
France,2019,2020-11-21T23:14:17.13Z,STA-FR35003,SPO-FR35003_5,45.831099999999999,1.256875,Limoges,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Not valid,Verified,0.35388128,100,0.35388128,4.999999
France,2019,2020-11-21T23:14:17.13Z,STA-FR01060,SPO-FR01060_5,49.168849999999992,6.212669,Metz,Particulate matter < 10 Âµm (aerosol),Annual mean / 1 calendar year,FR.LCSQA-INERIS.AQ,ug.m-3,2019-01-01,2020-01-01,Not valid,Verified,70.69634703,100,70.69634703,16.388196
